Symbol
AAPL
MSFT
AMZN
GOOGL
NVDA
TSLA
META
INTC
AMD
NFLX
ADBE
CSCO
PEP
TXN
AVGO
QCOM
AMAT
ISRG
SBUX
GILD
ADI
INTU
MDLZ
BKNG
ATVI
VRTX
REGN
EA
MAR
ROST
MNST
CTAS
ASML
LRCX
ORLY
PCAR
KHC
ILMN
EXC
CTSH
MRVL
SNPS
BIDU
CDNS
FAST
KDP
EBAY
UAL
ZM
DOCU

