Symbol
JNJ
V
WMT
JPM
PG
MA
DIS
KO
PFE
BAC
XOM
CVX
HD
UNH
T
VZ
C
CRM
LLY
MCD
NKE
AXP
BA
CAT
MMM
CL
GE
UPS
IBM
MDT
LOW
MO
SO
DUK
PEP
BMY
AMGN
ADP
GM
BK
SYK
LMT
RTX
ANTM
CLX
F
EMR
FIS

